username,policy,service,status,risk
test-user-1,AdministratorAccess,Amazon Keyspaces (for Apache Cassandra),NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Cost Explorer Service,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Chatbot,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Chime,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Clean Rooms,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Clean Rooms ML,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Cloud9,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Cloud Directory,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS CloudFormation,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon CloudFront,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon CloudFront KeyValueStore,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS CloudHSM,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon CloudSearch,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS CloudShell,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS CloudTrail,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS CloudTrail Data,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon CloudWatch,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS CodeArtifact,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS CodeBuild,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon CodeCatalyst,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS CodeCommit,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS CodeConnections,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS CodeDeploy,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS CodeDeploy secure host commands service,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon CodeGuru,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon CodeGuru Profiler,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon CodeGuru Reviewer,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon CodeGuru Security,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS CodePipeline,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS CodeStar,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS CodeStar Connections,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS CodeStar Notifications,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon CodeWhisperer,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Cognito Identity,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Cognito User Pools,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Cognito Sync,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Comprehend,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Comprehend Medical,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Compute Optimizer,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Config,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Connect,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Connect Outbound Campaigns,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Console Mobile App,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Consolidated Billing,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Control Catalog,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Control Tower,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Cost Optimization Hub,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Cost and Usage Report,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Customer Verification Service,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Glue DataBrew,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Data Exchange,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Data Pipeline,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS DataSync,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon DataZone,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon DynamoDB Accelerator (DAX),NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Database Query Metadata Service,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Deadline Cloud,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Detective,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Device Farm,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon DevOps Guru,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Direct Connect,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Application Discovery Service,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Data Lifecycle Manager,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Database Migration Service,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon DocumentDB Elastic Clusters,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Elastic Disaster Recovery,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Directory Service,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Directory Service Data,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Aurora DSQL,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon DynamoDB,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Elastic Block Store,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon EC2,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon EC2 Instance Connect,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Message Delivery Service,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Elastic Container Registry,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Elastic Container Registry Public,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Elastic Container Service,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon ECS MCP Service,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Elastic Kubernetes Service,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon EKS Auth,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon EKS MCP Server,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon ElastiCache,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Elastic Beanstalk,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Elastic File System,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Elastic Load Balancing,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Elastic MapReduce,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Elastic Transcoder,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Elemental Appliances and Software Activation Service,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Elemental Appliances and Software,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Elemental Inference,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Elemental Support Cases,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Elemental Support Content,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon EMR on EKS (EMR Containers),NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon EMR Serverless,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Entity Resolution,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon OpenSearch Service,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon EventBridge,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS reInvent event pass amount charge to customer AWS account,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon CloudWatch Evidently,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Elastic VMware Service,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon API Gateway,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS FinOps Agent,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon FinSpace,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon FinSpace API,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Kinesis Firehose,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Fault Injection Service,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Firewall Manager,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Forecast,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Fraud Detector,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon FreeRTOS,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Free Tier,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon FSx,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon GameLift Servers,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon GameLift Streams,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Location,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Location Service Maps,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Location Service Places,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Location Service Routes,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon S3 Glacier,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Global Accelerator,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Glue,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Managed Grafana,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS IoT Greengrass,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Ground Station,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon GroundTruth Labeling,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon GuardDuty,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Health APIs and Notifications,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Connect Health,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS HealthLake,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,Amazon Honeycode,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Identity and Access Management,NEVER USED,HIGH RISK - Unused Admin Permission
test-user-1,AdministratorAccess,AWS Identity Sync,NEVER USED,HIGH RISK - Unused Admin Permission
